Estado,dosis,descarga,Poblacion_INEGI,dosis_per_capita,Dia
Aguascalientes,363066.0,2021-05-26 22:36:43,1424099,0.25494435428997564,2021-05-26
Baja California,716252.0,2021-05-26 22:36:43,3760801,0.19045198084131545,2021-05-26
Baja California Sur,185781.0,2021-05-26 22:36:43,794605,0.2338029587027517,2021-05-26
CDMX,3933492.0,2021-05-26 22:36:43,9200318,0.42753870029275076,2021-05-26
Campeche,244678.0,2021-05-26 22:36:43,924069,0.26478325752730586,2021-05-26
Chiapas,619078.0,2021-05-26 22:36:43,5515984,0.112233465506789,2021-05-26
Chihuahua,826755.0,2021-05-26 22:36:43,3734230,0.2213990568336712,2021-05-26
Coahuila,809623.0,2021-05-26 22:36:43,3140612,0.2577914750373494,2021-05-26
Colima,179395.0,2021-05-26 22:36:43,729435,0.24593692378347626,2021-05-26
Durango,432283.0,2021-05-26 22:36:43,1829475,0.2362880061219749,2021-05-26
Estado de México,3320002.0,2021-05-26 22:36:43,16984191,0.19547601649086493,2021-05-26
Guanajuato,1269086.0,2021-05-26 22:36:43,6154885,0.20619166726916913,2021-05-26
Guerrero,713507.0,2021-05-26 22:36:43,3526268,0.20234054813757774,2021-05-26
Hidalgo,708538.0,2021-05-26 22:36:43,3079635,0.23007207022910184,2021-05-26
Jalisco,1506615.0,2021-05-26 22:36:43,8297100,0.18158332429403046,2021-05-26
Michoacán,959493.0,2021-05-26 22:36:43,4745316,0.20219791474371782,2021-05-26
Morelos,502708.0,2021-05-26 22:36:43,1970572,0.25510765402126895,2021-05-26
Nayarit,307872.0,2021-05-26 22:36:43,1234288,0.2494328714206085,2021-05-26
Nuevo León,1352316.0,2021-05-26 22:36:43,5766310,0.2345201697446027,2021-05-26
Oaxaca,801822.0,2021-05-26 22:36:43,4122760,0.1944867030824011,2021-05-26
Puebla,947155.0,2021-05-26 22:36:43,6577607,0.14399689735187887,2021-05-26
Querétaro,,2021-05-26 22:36:43,2361643,,2021-05-26
Quintana Roo,298003.0,2021-05-26 22:36:43,1836963,0.16222591309677986,2021-05-26
San Luis Potosí,721333.0,2021-05-26 22:36:43,2820313,0.2557634560419358,2021-05-26
Sinaloa,817191.0,2021-05-26 22:36:43,3024718,0.2701709713103833,2021-05-26
Sonora,605377.0,2021-05-26 22:36:43,2942115,0.20576252117949162,2021-05-26
Tabasco,507452.0,2021-05-26 22:36:43,2401722,0.21128673510089843,2021-05-26
Tamaulipas,837718.0,2021-05-26 22:36:43,3522081,0.2378474543884709,2021-05-26
Tlaxcala,279501.0,2021-05-26 22:36:43,1322052,0.21141452832415064,2021-05-26
Veracruz,1526411.0,2021-05-26 22:36:43,8059109,0.18940195498038306,2021-05-26
Yucatán,595988.0,2021-05-26 22:36:43,2317082,0.2572148935600898,2021-05-26
Zacatecas,408078.0,2021-05-26 22:36:43,1620280,0.251856469252228,2021-05-26
Aguascalientes,364949.0,2021-05-28 14:05:34,1424099,0.2562665938252888,2021-05-28
Baja California,725739.0,2021-05-28 14:05:34,3760801,0.19297458174468685,2021-05-28
Baja California Sur,186528.0,2021-05-28 14:05:34,794605,0.23474304843286917,2021-05-28
CDMX,4017462.0,2021-05-28 14:05:34,9200318,0.43666555873394813,2021-05-28
Campeche,245474.0,2021-05-28 14:05:34,924069,0.2656446650628903,2021-05-28
Chiapas,621090.0,2021-05-28 14:05:34,5515984,0.11259822363516646,2021-05-28
Chihuahua,865741.0,2021-05-28 14:05:34,3734230,0.23183922789972766,2021-05-28
Coahuila,810509.0,2021-05-28 14:05:34,3140612,0.2580735856578272,2021-05-28
Colima,191062.0,2021-05-28 14:05:34,729435,0.26193149492415363,2021-05-28
Durango,443980.0,2021-05-28 14:05:34,1829475,0.24268164364093525,2021-05-28
Estado de México,3443990.0,2021-05-28 14:05:34,16984191,0.20277621701263251,2021-05-28
Guanajuato,1307686.0,2021-05-28 14:05:34,6154885,0.2124631085714843,2021-05-28
Guerrero,723569.0,2021-05-28 14:05:34,3526268,0.2051939897931751,2021-05-28
Hidalgo,736433.0,2021-05-28 14:05:34,3079635,0.23912996182989218,2021-05-28
Jalisco,1523835.0,2021-05-28 14:05:34,8297100,0.18365874823733594,2021-05-28
Michoacán,974106.0,2021-05-28 14:05:34,4745316,0.20527737246581682,2021-05-28
Morelos,516179.0,2021-05-28 14:05:34,1970572,0.26194374019320277,2021-05-28
Nayarit,314225.0,2021-05-28 14:05:34,1234288,0.25457996837042896,2021-05-28
Nuevo León,1424449.0,2021-05-28 14:05:34,5766310,0.24702955616330027,2021-05-28
Oaxaca,822900.0,2021-05-28 14:05:34,4122760,0.19959929755794661,2021-05-28
Puebla,979686.0,2021-05-28 14:05:34,6577607,0.14894261697301162,2021-05-28
Querétaro,,2021-05-28 14:05:34,2361643,,2021-05-28
Quintana Roo,308862.0,2021-05-28 14:05:34,1836963,0.16813730053354367,2021-05-28
San Luis Potosí,727568.0,2021-05-28 14:05:34,2820313,0.2579742035724404,2021-05-28
Sinaloa,859471.0,2021-05-28 14:05:34,3024718,0.2841491339027308,2021-05-28
Sonora,632056.0,2021-05-28 14:05:34,2942115,0.21483048759140957,2021-05-28
Tabasco,514424.0,2021-05-28 14:05:34,2401722,0.21418965225783834,2021-05-28
Tamaulipas,868424.0,2021-05-28 14:05:34,3522081,0.2465655957372928,2021-05-28
Tlaxcala,291858.0,2021-05-28 14:05:34,1322052,0.22076136188289114,2021-05-28
Veracruz,1552291.0,2021-05-28 14:05:34,8059109,0.1926132280876211,2021-05-28
Yucatán,621093.0,2021-05-28 14:05:34,2317082,0.2680496417476809,2021-05-28
Zacatecas,413797.0,2021-05-28 14:05:34,1620280,0.25538610610511764,2021-05-28
Aguascalientes,370316.0,2021-06-01 12:17:12,1424099,0.2600352924901991,2021-06-01
Baja California,755854.0,2021-06-01 12:17:12,3760801,0.20098218438040194,2021-06-01
Baja California Sur,190839.0,2021-06-01 12:17:12,794605,0.24016838555005318,2021-06-01
CDMX,4328422.0,2021-06-01 12:17:12,9200318,0.47046439046998156,2021-06-01
Campeche,248909.0,2021-06-01 12:17:12,924069,0.2693619199432077,2021-06-01
Chiapas,624970.0,2021-06-01 12:17:12,5515984,0.11330163394237547,2021-06-01
Chihuahua,915129.0,2021-06-01 12:17:12,3734230,0.24506497992892778,2021-06-01
Coahuila,811261.0,2021-06-01 12:17:12,3140612,0.2583130294350273,2021-06-01
Colima,212445.0,2021-06-01 12:17:12,729435,0.2912459643422649,2021-06-01
Durango,499184.0,2021-06-01 12:17:12,1829475,0.2728564205578103,2021-06-01
Estado de México,3839337.0,2021-06-01 12:17:12,16984191,0.22605356946350874,2021-06-01
Guanajuato,1430028.0,2021-06-01 12:17:12,6154885,0.23234032804837135,2021-06-01
Guerrero,729573.0,2021-06-01 12:17:12,3526268,0.20689663973356534,2021-06-01
Hidalgo,777946.0,2021-06-01 12:17:12,3079635,0.25260980603220834,2021-06-01
Jalisco,1574093.0,2021-06-01 12:17:12,8297100,0.1897160453652481,2021-06-01
Michoacán,987827.0,2021-06-01 12:17:12,4745316,0.20816885535125584,2021-06-01
Morelos,538502.0,2021-06-01 12:17:12,1970572,0.27327192307614234,2021-06-01
Nayarit,323899.0,2021-06-01 12:17:12,1234288,0.2624176853376197,2021-06-01
Nuevo León,1665183.0,2021-06-01 12:17:12,5766310,0.28877791863427393,2021-06-01
Oaxaca,862234.0,2021-06-01 12:17:12,4122760,0.20913999359652272,2021-06-01
Puebla,1043858.0,2021-06-01 12:17:12,6577607,0.1586987486482546,2021-06-01
Querétaro,,2021-06-01 12:17:12,2361643,,2021-06-01
Quintana Roo,317451.0,2021-06-01 12:17:12,1836963,0.17281295268331479,2021-06-01
San Luis Potosí,754296.0,2021-06-01 12:17:12,2820313,0.26745116588123374,2021-06-01
Sinaloa,898680.0,2021-06-01 12:17:12,3024718,0.29711199523393583,2021-06-01
Sonora,710782.0,2021-06-01 12:17:12,2942115,0.24158878901742453,2021-06-01
Tabasco,534814.0,2021-06-01 12:17:12,2401722,0.2226793942013272,2021-06-01
Tamaulipas,944174.0,2021-06-01 12:17:12,3522081,0.2680727672077956,2021-06-01
Tlaxcala,306870.0,2021-06-01 12:17:12,1322052,0.23211643717493716,2021-06-01
Veracruz,1668991.0,2021-06-01 12:17:12,8059109,0.20709373703718365,2021-06-01
Yucatán,697153.0,2021-06-01 12:17:12,2317082,0.30087541140106394,2021-06-01
Zacatecas,425510.0,2021-06-01 12:17:12,1620280,0.26261510356234724,2021-06-01
Aguascalientes,377490.0,2021-06-02 12:27:53,1424099,0.2650728636141167,2021-06-02
Baja California,776613.0,2021-06-02 12:27:53,3760801,0.20650201911773583,2021-06-02
Baja California Sur,195465.0,2021-06-02 12:27:53,794605,0.2459901460474072,2021-06-02
CDMX,4328557.0,2021-06-02 12:27:53,9200318,0.4704790638758356,2021-06-02
Campeche,254294.0,2021-06-02 12:27:53,924069,0.27518940685165283,2021-06-02
Chiapas,629827.0,2021-06-02 12:27:53,5515984,0.11418216586560077,2021-06-02
Chihuahua,915132.0,2021-06-02 12:27:53,3734230,0.24506578330740206,2021-06-02
Coahuila,841369.0,2021-06-02 12:27:53,3140612,0.2678996959828212,2021-06-02
Colima,220825.0,2021-06-02 12:27:53,729435,0.30273430806034807,2021-06-02
Durango,511116.0,2021-06-02 12:27:53,1829475,0.2793785102283442,2021-06-02
Estado de México,3927686.0,2021-06-02 12:27:53,16984191,0.23125540686630291,2021-06-02
Guanajuato,1485573.0,2021-06-02 12:27:53,6154885,0.2413648670933738,2021-06-02
Guerrero,737493.0,2021-06-02 12:27:53,3526268,0.2091426403211554,2021-06-02
Hidalgo,796948.0,2021-06-02 12:27:53,3079635,0.25878001776184517,2021-06-02
Jalisco,1610598.0,2021-06-02 12:27:53,8297100,0.19411577539140182,2021-06-02
Michoacán,987847.0,2021-06-02 12:27:53,4745316,0.20817307003369218,2021-06-02
Morelos,539311.0,2021-06-02 12:27:53,1970572,0.27368246377194033,2021-06-02
Nayarit,326497.0,2021-06-02 12:27:53,1234288,0.2645225425508471,2021-06-02
Nuevo León,1689351.0,2021-06-02 12:27:53,5766310,0.2929691605203328,2021-06-02
Oaxaca,862247.0,2021-06-02 12:27:53,4122760,0.20914314682397228,2021-06-02
Puebla,1064628.0,2021-06-02 12:27:53,6577607,0.1618564319820263,2021-06-02
Querétaro,,2021-06-02 12:27:53,2361643,,2021-06-02
Quintana Roo,323397.0,2021-06-02 12:27:53,1836963,0.17604981700774594,2021-06-02
San Luis Potosí,761543.0,2021-06-02 12:27:53,2820313,0.2700207388328884,2021-06-02
Sinaloa,905866.0,2021-06-02 12:27:53,3024718,0.2994877538997024,2021-06-02
Sonora,741860.0,2021-06-02 12:27:53,2942115,0.2521519383164832,2021-06-02
Tabasco,561594.0,2021-06-02 12:27:53,2401722,0.23382972717075498,2021-06-02
Tamaulipas,961662.0,2021-06-02 12:27:53,3522081,0.2730380136061607,2021-06-02
Tlaxcala,313831.0,2021-06-02 12:27:53,1322052,0.23738173687570535,2021-06-02
Veracruz,1680917.0,2021-06-02 12:27:53,8059109,0.20857355323026405,2021-06-02
Yucatán,725472.0,2021-06-02 12:27:53,2317082,0.3130972490399563,2021-06-02
Zacatecas,437329.0,2021-06-02 12:27:53,1620280,0.269909521811045,2021-06-02
Aguascalientes,401501.0,2021-06-08 19:56:55,1424099,0.2819333487348843,2021-06-08
Baja California,877750.0,2021-06-08 19:56:55,3760801,0.23339442847414688,2021-06-08
Baja California Sur,228665.0,2021-06-08 19:56:55,794605,0.2877719118304063,2021-06-08
CDMX,4714855.0,2021-06-08 19:56:55,9200318,0.5124665256135712,2021-06-08
Campeche,269908.0,2021-06-08 19:56:55,924069,0.2920864134604667,2021-06-08
Chiapas,647216.0,2021-06-08 19:56:55,5515984,0.11733464056458467,2021-06-08
Chihuahua,1036994.0,2021-06-08 19:56:55,3734230,0.27769955251818984,2021-06-08
Coahuila,908968.0,2021-06-08 19:56:55,3140612,0.2894238447792978,2021-06-08
Colima,248409.0,2021-06-08 19:56:55,729435,0.34054987764502664,2021-06-08
Durango,540950.0,2021-06-08 19:56:55,1829475,0.2956859208242802,2021-06-08
Estado de México,4631804.0,2021-06-08 19:56:55,16984191,0.27271266556057927,2021-06-08
Guanajuato,1694773.0,2021-06-08 19:56:55,6154885,0.27535412928105074,2021-06-08
Guerrero,815425.0,2021-06-08 19:56:55,3526268,0.2312430592342953,2021-06-08
Hidalgo,910034.0,2021-06-08 19:56:55,3079635,0.2955006031558935,2021-06-08
Jalisco,1726218.0,2021-06-08 19:56:55,8297100,0.2080507647250244,2021-06-08
Michoacán,1022955.0,2021-06-08 19:56:55,4745316,0.21557152358241263,2021-06-08
Morelos,581356.0,2021-06-08 19:56:55,1970572,0.2950189082154826,2021-06-08
Nayarit,360404.0,2021-06-08 19:56:55,1234288,0.29199344075288747,2021-06-08
Nuevo León,1827768.0,2021-06-08 19:56:55,5766310,0.3169735931644327,2021-06-08
Oaxaca,894387.0,2021-06-08 19:56:55,4122760,0.21693889530314645,2021-06-08
Puebla,1142910.0,2021-06-08 19:56:55,6577607,0.17375772070298515,2021-06-08
Querétaro,,2021-06-08 19:56:55,2361643,,2021-06-08
Quintana Roo,396102.0,2021-06-08 19:56:55,1836963,0.21562873068210955,2021-06-08
San Luis Potosí,786487.0,2021-06-08 19:56:55,2820313,0.2788651472372038,2021-06-08
Sinaloa,1007334.0,2021-06-08 19:56:55,3024718,0.3330340216840049,2021-06-08
Sonora,813714.0,2021-06-08 19:56:55,2942115,0.2765745050754304,2021-06-08
Tabasco,707830.0,2021-06-08 19:56:55,2401722,0.29471770671210074,2021-06-08
Tamaulipas,1014308.0,2021-06-08 19:56:55,3522081,0.2879854267973962,2021-06-08
Tlaxcala,346707.0,2021-06-08 19:56:55,1322052,0.2622491399733142,2021-06-08
Veracruz,1801498.0,2021-06-08 19:56:55,8059109,0.22353562906271648,2021-06-08
Yucatán,868583.0,2021-06-08 19:56:55,2317082,0.37486070842551106,2021-06-08
